SERIES,M,N,K,P,T
WEAK(small),896,896,896,1,1.362385
WEAK(small),896,896,896,1,1.293892
WEAK(small),1136,1136,1136,2,1.731373
WEAK(small),1136,1136,1136,2,1.512022
WEAK(small),1424,1424,1424,4,2.466018
WEAK(small),1424,1424,1424,4,2.562366
WEAK(small),1792,1792,1792,8,16.390488
WEAK(small),1792,1792,1792,8,17.448682
WEAK(medium),1152,1152,1152,1,3.259038
WEAK(medium),1152,1152,1152,1,3.459493
WEAK(medium),1456,1456,1456,2,4.152221
WEAK(medium),1456,1456,1456,2,4.044992
WEAK(medium),1824,1824,1824,4,14.192118
WEAK(medium),1824,1824,1824,4,14.589549
WEAK(medium),2304,2304,2304,8,51.456404
WEAK(medium),2304,2304,2304,8,52.046583
